                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.2496,                0.83144,                 1.2447,                0.83185,                0.63422,                0.73827,                0.45893,                 1.2027,                0.74458,                 1.2175,               0.006436,               0.006436,               0.006436
                    129,                 1.2527,                0.83116,                 1.2464,                0.83199,                0.63415,                 0.7384,                0.45913,                 1.2024,                0.74423,                 1.2172,              0.0064077,              0.0064077,              0.0064077
                    130,                 1.2475,                 0.8294,                 1.2432,                0.83245,                0.63407,                0.73852,                0.45926,                 1.2022,                0.74408,                 1.2169,              0.0063794,              0.0063794,              0.0063794
                    131,                 1.2473,                0.82955,                 1.2435,                  0.832,                0.63443,                0.73862,                0.45929,                  1.202,                 0.7439,                 1.2165,              0.0063511,              0.0063511,              0.0063511
                    132,                  1.247,                0.82982,                  1.243,                 0.8324,                0.63427,                0.73868,                0.45934,                 1.2019,                0.74363,                 1.2162,              0.0063229,              0.0063229,              0.0063229
                    133,                 1.2452,                0.82738,                 1.2417,                0.83276,                0.63412,                0.73884,                0.45948,                 1.2017,                0.74337,                 1.2159,              0.0062946,              0.0062946,              0.0062946
                    134,                 1.2497,                0.83125,                 1.2425,                 0.8331,                0.63408,                0.73897,                0.45959,                 1.2015,                0.74324,                 1.2155,              0.0062663,              0.0062663,              0.0062663
                    135,                 1.2506,                0.83034,                 1.2435,                0.83365,                0.63405,                0.73909,                0.45969,                 1.2012,                0.74298,                 1.2153,               0.006238,               0.006238,               0.006238
                    136,                 1.2463,                0.82833,                   1.24,                 0.8339,                0.63393,                0.73904,                0.45973,                  1.201,                0.74277,                 1.2149,              0.0062097,              0.0062097,              0.0062097
                    137,                 1.2462,                0.82821,                 1.2417,                0.83392,                0.63429,                0.73923,                0.45997,                 1.2006,                 0.7425,                 1.2146,              0.0061814,              0.0061814,              0.0061814
                    138,                  1.245,                0.82517,                 1.2413,                0.83382,                0.63433,                0.73928,                0.46008,                 1.2003,                0.74223,                 1.2142,              0.0061531,              0.0061531,              0.0061531
                    139,                 1.2435,                 0.8246,                 1.2401,                0.83303,                0.63505,                0.73952,                0.46026,                    1.2,                0.74204,                 1.2137,              0.0061249,              0.0061249,              0.0061249
                    140,                 1.2439,                0.82786,                 1.2413,                0.83371,                0.63469,                0.73968,                0.46041,                 1.1997,                0.74168,                 1.2133,              0.0060966,              0.0060966,              0.0060966
                    141,                 1.2448,                0.82571,                 1.2401,                0.83344,                0.63498,                0.73976,                0.46052,                 1.1995,                0.74123,                  1.213,              0.0060683,              0.0060683,              0.0060683
                    142,                 1.2422,                0.82407,                 1.2399,                0.83315,                 0.6353,                0.73988,                0.46072,                 1.1991,                0.74099,                 1.2126,                0.00604,                0.00604,                0.00604
                    143,                 1.2441,                0.82695,                 1.2385,                0.83344,                0.63519,                0.74001,                0.46083,                 1.1987,                0.74082,                 1.2124,              0.0060117,              0.0060117,              0.0060117
                    144,                 1.2447,                0.82622,                 1.2364,                0.83394,                0.63518,                0.74015,                0.46096,                 1.1985,                0.74042,                  1.212,              0.0059834,              0.0059834,              0.0059834
                    145,                 1.2411,                0.82314,                 1.2351,                 0.8339,                0.63516,                0.74025,                0.46111,                 1.1983,                0.74013,                 1.2116,              0.0059551,              0.0059551,              0.0059551
                    146,                  1.242,                0.82336,                  1.238,                0.83288,                0.63578,                0.74019,                0.46118,                 1.1979,                0.73983,                 1.2112,              0.0059269,              0.0059269,              0.0059269
                    147,                 1.2404,                0.82397,                 1.2384,                0.83297,                0.63601,                0.74039,                0.46136,                 1.1976,                0.73961,                 1.2109,              0.0058986,              0.0058986,              0.0058986
                    148,                 1.2434,                0.82481,                 1.2369,                0.83388,                0.63576,                0.74044,                0.46143,                 1.1974,                0.73933,                 1.2106,              0.0058703,              0.0058703,              0.0058703
                    149,                 1.2409,                0.82308,                 1.2368,                 0.8337,                0.63597,                0.74052,                0.46154,                  1.197,                0.73914,                 1.2101,               0.005842,               0.005842,               0.005842
                    150,                 1.2393,                0.82445,                 1.2386,                0.83418,                0.63571,                0.74062,                0.46169,                 1.1966,                0.73892,                 1.2097,              0.0058137,              0.0058137,              0.0058137
                    151,                 1.2412,                0.82282,                 1.2364,                0.83328,                0.63629,                0.74064,                0.46181,                 1.1964,                0.73867,                 1.2094,              0.0057854,              0.0057854,              0.0057854
                    152,                 1.2394,                0.82168,                 1.2365,                0.83284,                0.63652,                 0.7407,                0.46183,                 1.1962,                0.73848,                  1.209,              0.0057571,              0.0057571,              0.0057571
                    153,                  1.242,                0.82241,                 1.2338,                0.83322,                0.63663,                0.74084,                  0.462,                  1.196,                0.73821,                 1.2086,              0.0057289,              0.0057289,              0.0057289
